model,target_fpr_budget_pct,n_seeds,attack_precision_mean,attack_precision_sd,attack_precision_ci95_low,attack_precision_ci95_high,attack_recall_mean,attack_recall_sd,attack_recall_ci95_low,attack_recall_ci95_high,attack_f1_mean,attack_f1_sd,attack_f1_ci95_low,attack_f1_ci95_high,fpr_mean,fpr_sd,fpr_ci95_low,fpr_ci95_high,alerts_per_1k_normals_mean,alerts_per_1k_normals_sd,alerts_per_1k_normals_ci95_low,alerts_per_1k_normals_ci95_high,raw_false_triggers_per_day_mean,raw_false_triggers_per_day_sd,raw_false_triggers_per_day_ci95_low,raw_false_triggers_per_day_ci95_high,mean_seconds_between_raw_false_triggers_mean,mean_seconds_between_raw_false_triggers_sd,mean_seconds_between_raw_false_triggers_ci95_low,mean_seconds_between_raw_false_triggers_ci95_high,dos_recall_mean,dos_recall_sd,dos_recall_ci95_low,dos_recall_ci95_high,fdi_recall_mean,fdi_recall_sd,fdi_recall_ci95_low,fdi_recall_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
Dense AE,0.01,10,0.9994523895445221,9.060726709602095e-05,0.9993875730102738,0.9995172060787704,0.7413397643615512,0.0006440548682846851,0.7408790352636998,0.7418004934594027,0.8512603691917129,0.00044017063241431556,0.8509454900900099,0.8515752482934159,0.00030416890320271965,5.023224347803129e-05,0.00026823492092831007,0.00034010288547712923,0.3041689032027196,0.05023224347803131,0.26823492092831,0.3401028854771292,262.8019323671498,43.40065836501905,231.75497168205993,293.84889305223965,336.671261403113,53.32587690544898,298.5242270918585,374.81829571436754,0.7326383988709987,8.391137712637698e-05,0.7325783722878818,0.7326984254541156,0.7489200592360781,0.0012098291599133251,0.7480545995914893,0.7497855188806668,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,0.02,10,0.9992618045916035,0.00012067071796816663,0.9991754819601566,0.9993481272230504,0.7417907327489659,0.0006753105104742295,0.7413076447116236,0.7422738207863082,0.8514883702424306,0.0004289372592228216,0.8511815270118175,0.8517952134730438,0.00041040436571837535,6.731317139624387e-05,0.0003622514236972853,0.00045855730773946543,0.41040436571837535,0.06731317139624386,0.3622514236972853,0.4585573077394654,354.5893719806764,58.15858008635471,312.9852300744546,396.1935138868982,250.3257275179288,46.184558674761725,217.28728452073065,283.364170515127,0.7328115979216113,0.00029326138817530945,0.7326018113623256,0.733021384480897,0.7496130095839504,0.0011492285485430053,0.7487909010052115,0.7504351181626893,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,0.05,10,0.9990035807844077,0.000199271282832422,0.9988610306960718,0.9991461308727435,0.7424940642405962,0.0008264335286838613,0.7419028693085264,0.7430852591726659,0.851857584991121,0.0005173324858058519,0.8514875076247168,0.8522276623575251,0.0005546609411343711,0.00011122879406905388,0.0004750926551542845,0.0006342292271144577,0.5546609411343711,0.1112287940690539,0.47509265515428456,0.6342292271144577,479.22705314009664,96.10167807566255,410.48005405330184,547.9740522268914,186.55381072496243,35.39666992469664,161.23255844596656,211.8750630039583,0.7333600615818846,0.00044751741187240416,0.7330399269107596,0.7336801962530096,0.7504512559725055,0.0013624635932117382,0.7494766082319679,0.7514259037130431,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,0.1,10,0.9985420256965527,0.00029428489545048716,0.9983315069642693,0.9987525444288361,0.7445712067137545,0.0006644290273513288,0.7440959028205114,0.7450465106069977,0.8530547924206386,0.0005080739518875311,0.8526913382104121,0.8534182466308652,0.0008140991232778673,0.00016399569955360388,0.0006967836670527066,0.000931414579503028,0.8140991232778673,0.16399569955360388,0.6967836670527064,0.9314145795030281,703.3816425120774,141.69228441431372,602.0210883335385,804.7421966906163,126.22256915730864,19.05477222729184,112.5916062528174,139.85353206179988,0.7350952594778369,0.0008062969469457296,0.7345184693885762,0.7356720495670976,0.7528262874067452,0.000780303776943541,0.7522680917111536,0.7533844831023367,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,0.2,10,0.99677362328824,0.0006632094826996491,0.9962991918046856,0.9972480547717945,0.7476488419669389,0.0023590433728267165,0.745961283998703,0.7493363999351749,0.8544209191330061,0.0017510259525154038,0.8531683106253404,0.8556735276406718,0.0018115942028985505,0.00036916020764418044,0.0015475128989507216,0.0020756755068463795,1.8115942028985508,0.36916020764418045,1.5475128989507216,2.07567550684638,1565.217391304348,318.9544194045719,1337.0511446934238,1793.3836379152722,57.260431047596796,11.446777705182717,49.0718995650833,65.4489625301103,0.737831162999551,0.0026615302232604913,0.7359272189738919,0.7397351070252101,0.7562016261979938,0.002138012190928844,0.7546721844121634,0.7577310679838242,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,0.5,10,0.9910809684339684,0.0005834242684217116,0.9906636118544421,0.9914983250134948,0.7519494676482446,0.004325062749383441,0.7488555041417166,0.7550434311547725,0.8551060033790367,0.002921053825471627,0.8530164073522736,0.8571955994057999,0.005066872427983539,0.0003192867916630409,0.004838468416582166,0.005295276439384913,5.066872427983538,0.3192867916630409,4.838468416582165,5.295276439384912,4377.777777777778,275.8637879968674,4180.436711926992,4575.118843628565,19.804428404933322,1.2086894038284868,18.93978409273105,20.669072717135595,0.7417088972993778,0.004438190058285302,0.7385340073911731,0.7448837872075825,0.760870658582246,0.004227313712067772,0.7578466205246138,0.7638946966398782,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,1.0,10,0.9820912539893941,0.0012340368697522249,0.9812084771923945,0.9829740307863938,0.7544954977824898,0.003683642009492893,0.7518603790318754,0.7571306165331042,0.8533754140866954,0.0026164271431616975,0.8515037348608655,0.8552470933125252,0.010302603327965646,0.0006995121821583951,0.009802202457648028,0.010803004198283265,10.302603327965645,0.6995121821583953,9.802202457648027,10.803004198283263,8901.449275362316,604.3785253848532,8469.102923407894,9333.795627316738,9.746250396684797,0.6548041003531333,9.277831761439275,10.214669031930319,0.7442619796010008,0.0038020220960872948,0.7415421768379117,0.74698178236409,0.7634105451395681,0.003583836603059667,0.7608468228756989,0.7659742674034372,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,2.0,10,0.9639236117955194,0.0018902466194074812,0.9625714108223385,0.9652758127687003,0.7563068376961787,0.0040998985660090975,0.7533739469432048,0.7592397284491526,0.8475805935943663,0.0027482501046302947,0.8456146139026844,0.8495465732860482,0.021199006977992485,0.0011437482247370465,0.02038081878673515,0.02201719516924982,21.199006977992486,1.143748224737047,20.38081878673515,22.01719516924982,18315.94202898551,988.1984661728086,17609.027431739174,19022.85662623185,4.730103962244642,0.2659005398911917,4.539890174732149,4.920317749757134,0.7463660273269613,0.004262217622200472,0.7433170205161703,0.7494150341377523,0.7649668892676521,0.003963328838890483,0.762131694612119,0.7678020839231852,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,5.0,10,0.9158662360833768,0.004840420071501141,0.9124036081574295,0.9193288640093241,0.7610196066719428,0.006843693869959482,0.7561239229997182,0.7659152903441674,0.8312607446637562,0.0030240323102295697,0.8290974822667551,0.8334240070607574,0.05238750223653606,0.0036363033600940405,0.049786247515688456,0.05498875695738366,52.38750223653606,3.6363033600940398,49.78624751568845,54.988756957383664,45262.80193236715,3141.7661031212506,43015.317853554814,47510.28601117948,1.9172239008879994,0.13422475625894634,1.821205294545933,2.013242507230066,0.7513342741676823,0.0069484802191476635,0.7463636308569145,0.7563049174784501,0.7694570957556792,0.0067592295211397705,0.7646218342386911,0.7742923572726673,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Dense AE,10.0,10,0.8438006927742758,0.006278321299610945,0.8393094522746964,0.8482919332738552,0.7834873893111532,0.007619356267127706,0.7780368301864126,0.7889379484358939,0.8124816150451565,0.0030702409832846795,0.8102852969547696,0.8146779331355434,0.10867664161746286,0.005944968830066035,0.10442386710909478,0.11292941612583095,108.67664161746288,5.944968830066035,104.4238671090948,112.92941612583095,93896.61835748793,5136.453069177055,90222.2211822579,97571.01553271795,0.9226078018656952,0.049721431789072214,0.8870392322606331,0.9581763714707574,0.7752742318301367,0.008442326215962003,0.769234955469091,0.7813135081911823,0.7906423761490962,0.006924419682547798,0.7856889447093464,0.795595807588846,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
