threshold,accuracy,attack_precision,attack_recall,attack_f1,roc_auc,pr_auc,fpr,fp,tn,fn,tp,normal_windows,attack_windows,dos_recall,fdi_recall,alerts_per_1k_normals,raw_false_triggers_per_day,mean_seconds_between_raw_false_triggers,model,seed,target_fpr_budget,target_fpr_budget_pct,threshold_percentile,validation_windows,expected_validation_exceedances
0.11828633397817612,0.8889450160175457,0.9995367106455837,0.7409918317977511,0.8510616403114603,0.8940775315490083,0.9131717208569967,0.000257201646090535,23,89401,17345,49622,89424,66967,0.7327282057861313,0.7481907848780351,0.257201646090535,222.22222222222223,388.8,Dense AE,67,0.0001,0.01,99.99,47447,4.7447
0.11310020834207535,0.8890729006144855,0.9993358156385227,0.7414398136395538,0.8512841614374379,0.8940775315490083,0.9131717208569967,0.0003690284487385937,33,89391,17315,49652,89424,66967,0.7328885752774392,0.7488893235351645,0.3690284487385937,318.84057971014494,270.9818181818182,Dense AE,67,0.0002,0.02,99.98,47447,9.4894
0.10890497267246246,0.8893734294172938,0.9991557788944724,0.7422760464109188,0.8517696650873481,0.8940775315490083,0.9131717208569967,0.0004696725711218465,42,89382,17259,49708,89424,66967,0.7333055359548399,0.7500908100254268,0.4696725711218465,405.7971014492754,212.9142857142857,Dense AE,67,0.0005,0.05,99.95,47447,23.7235
0.09527488797903061,0.8904732369509755,0.998699167467179,0.7451879283826363,0.8535169111044597,0.8940775315490083,0.9131717208569967,0.0007268742172123815,65,89359,17064,49903,89424,66967,0.735839373917506,0.7533320293945067,0.7268742172123815,628.0193236714977,137.57538461538462,Dense AE,67,0.001,0.1,99.9,47447,47.447
0.08386372774839401,0.8925641501109399,0.9974613752206422,0.751011692326071,0.8568678229461274,0.8940775315490083,0.9131717208569967,0.0014313830738951511,128,89296,16674,50293,89424,66967,0.7415485278080698,0.759255637206963,1.4313830738951512,1236.7149758454107,69.86250000000001,Dense AE,67,0.002,0.2,99.8,47447,94.894
0.05167647451162338,0.892468236663235,0.9912236022411158,0.7555661743843983,0.8574987501376967,0.8940775315490083,0.9131717208569967,0.0050098407586330294,448,88976,16369,50598,89424,66967,0.7453653217011995,0.7644527648160049,5.00984075863303,4328.502415458937,19.960714285714285,Dense AE,67,0.005,0.5,99.5,47447,237.235
0.03953295946121216,0.890198285067555,0.9823881580222037,0.7571490435587678,0.855186372069489,0.8940775315490083,0.9131717208569967,0.010165056360708535,909,88515,16263,50704,89424,66967,0.7469690166142793,0.7660174914079745,10.165056360708535,8782.608695652174,9.837623762376237,Dense AE,67,0.01,1.0,99.0,47447,474.47
0.025197235867381096,0.8844818435843494,0.9627884087596768,0.7595830782325623,0.8491986644407346,0.8940775315490083,0.9131717208569967,0.021985149400608337,1966,87458,16100,50867,89424,66967,0.7497273718647764,0.7681689904719328,21.985149400608336,18995.1690821256,4.54852492370295,Dense AE,67,0.02,2.0,98.0,47447,948.94
0.017040370032191277,0.8673517018242738,0.908004378221877,0.7680350023145729,0.8321751300450607,0.8940775315490083,0.9131717208569967,0.058272946859903384,5211,84213,15534,51433,89424,66967,0.7586118416832381,0.7762440973483472,58.272946859903385,50347.82608695652,1.7160621761658033,Dense AE,67,0.05,5.0,95.0,47447,2372.35
0.010013666935265064,0.8415765613110728,0.8336153590688407,0.7871339615034271,0.8097081413210445,0.8940775315490083,0.9131717208569967,0.11765297906602254,10521,78903,14255,52712,89424,66967,0.7794278016550131,0.7938472715080053,117.65297906602254,101652.17391304347,0.8499572284003423,Dense AE,67,0.1,10.0,90.0,47447,4744.7
0.17611868077169868,0.5735176576657225,0.9686411149825784,0.004151298400704825,0.008267166265203556,0.873666591496051,0.8680601853899479,0.00010064412238325282,9,89415,66689,278,89424,66967,0.007473218294951569,0.0012573695828327139,0.10064412238325282,86.95652173913044,993.6,Isolation Forest,67,0.0001,0.01,99.99,47447,4.7447
0.17469547556564025,0.5736647249522031,0.9620253164556962,0.0045395493302671465,0.00903645794628658,0.873666591496051,0.8680601853899479,0.00013419216317767042,12,89412,66663,304,89424,66967,0.0078901789723523,0.0016206096845399424,0.13419216317767044,115.94202898550725,745.2,Isolation Forest,67,0.0002,0.02,99.98,47447,9.4894
0.17247958741235667,0.5738693403073067,0.9402173913043478,0.005166723908790897,0.010276973342244004,0.873666591496051,0.8680601853899479,0.0002460189658257291,22,89402,66621,346,89424,66967,0.008659952530630573,0.002123557517673028,0.2460189658257291,212.56038647342993,406.4727272727273,Isolation Forest,67,0.0005,0.05,99.95,47447,23.7235
0.168842514218706,0.5743616960055247,0.9066937119675457,0.006674929442859916,0.013252297657871332,0.873666591496051,0.8680601853899479,0.00051440329218107,46,89378,66520,447,89424,66967,0.010488164731541471,0.0033529855542205706,0.51440329218107,444.44444444444446,194.4,Isolation Forest,67,0.001,0.1,99.9,47447,47.447
0.1598464389950609,0.5767978975772263,0.8840864440078585,0.013439455254080367,0.026476428623961167,0.873666591496051,0.8680601853899479,0.0013195562712470924,118,89306,66067,900,89424,66967,0.01796138302649304,0.009500125736958282,1.3195562712470925,1140.0966183574878,75.78305084745763,Isolation Forest,67,0.002,0.2,99.8,47447,94.894
0.11155713861572664,0.5922207799681567,0.8939319190922546,0.05411620648976361,0.1020543219611101,0.873666591496051,0.8680601853899479,0.004808552513866524,430,88994,63343,3624,89424,66967,0.07989608056963243,0.03165777194109922,4.808552513866524,4154.589371980676,20.796279069767444,Isolation Forest,67,0.005,0.5,99.5,47447,237.235
0.07966456029977169,0.6713429800947625,0.9463814657644225,0.2464348111756537,0.3910431846454594,0.873666591496051,0.8680601853899479,0.010455806047593488,935,88489,50464,16503,89424,66967,0.3494130476618128,0.1567241331135265,10.455806047593487,9033.816425120773,9.564064171122995,Isolation Forest,67,0.01,1.0,99.0,47447,474.47
0.053848503726487126,0.8784584790684886,0.9633809348972927,0.7444562247076918,0.8398867886384312,0.873666591496051,0.8680601853899479,0.021191179101807123,1895,87529,17113,49854,89424,66967,0.7473539033934185,0.7419318785101567,21.191179101807123,18309.178743961354,4.7189445910290235,Isolation Forest,67,0.02,2.0,98.0,47447,948.94
0.012215654391190664,0.8669488653439137,0.9124358905627334,0.7624501620200994,0.8307274295104372,0.873666591496051,0.8680601853899479,0.05479513329754876,4900,84524,15908,51059,89424,66967,0.7532234267752903,0.7704881388136019,54.79513329754876,47342.995169082125,1.8249795918367346,Isolation Forest,67,0.05,5.0,95.0,47447,2372.35
-0.02105844581628557,0.8418003593557174,0.8465237657563025,0.7701853151552257,0.80655224989249,0.873666591496051,0.8680601853899479,0.10456924315619968,9351,80073,15390,51577,89424,66967,0.7610494579511193,0.7781441224957389,104.56924315619969,90347.82608695653,0.9563041385948027,Isolation Forest,67,0.1,10.0,90.0,47447,4744.7
0.7412146868212339,0.8890984775338734,0.9995771670190274,0.741320351815073,0.8512929556210989,0.8353293268729098,0.8803858463925389,0.00023483628556092325,21,89403,17323,49644,89424,66967,0.7326319840913464,0.7488893235351645,0.23483628556092326,202.8985507246377,425.8285714285714,One-Class SVM,67,0.0001,0.01,99.99,47447,4.7447
0.7205073379321971,0.8890729006144855,0.9993559165106777,0.7414248809114937,0.8512816116588084,0.8353293268729098,0.8803858463925389,0.0003578457684737878,32,89392,17316,49651,89424,66967,0.7326961318878696,0.7490290312665903,0.3578457684737878,309.17874396135267,279.45000000000005,One-Class SVM,67,0.0002,0.02,99.98,47447,9.4894
0.7068204623862042,0.8892583332800481,0.9991956241956242,0.741977391849717,0.8515874716140366,0.8353293268729098,0.8803858463925389,0.00044730721059223476,40,89384,17279,49688,89424,66967,0.7333376098531016,0.7495040375534382,0.44730721059223477,386.47342995169083,223.56,One-Class SVM,67,0.0005,0.05,99.95,47447,23.7235
0.696271851818221,0.8898785735752057,0.9989568496860519,0.7436050592082668,0.8525715655389673,0.8353293268729098,0.8803858463925389,0.0005814993737699052,52,89372,17170,49797,89424,66967,0.7351337481557508,0.7509849395065523,0.5814993737699052,502.4154589371981,171.96923076923076,One-Class SVM,67,0.001,0.1,99.9,47447,47.447
0.6602793748183954,0.8919503040456292,0.9976740949843945,0.7494138904236415,0.8559051760893664,0.8353293268729098,0.8803858463925389,0.0013083735909822866,117,89307,16781,50186,89424,66967,0.7408429020463148,0.7568806057727234,1.3083735909822867,1130.4347826086955,76.43076923076924,One-Class SVM,67,0.002,0.2,99.8,47447,94.894
0.1879286964936958,0.8926472750989507,0.9919218854162581,0.7554467125599176,0.8576829506056676,0.8353293268729098,0.8803858463925389,0.004607264269100018,412,89012,16377,50590,89424,66967,0.745333247802938,0.7642571739920088,4.6072642691000185,3980.676328502416,21.70485436893204,One-Class SVM,67,0.005,0.5,99.5,47447,237.235
0.07411440096337697,0.8869052566963572,0.9725557132446013,0.7572535726551883,0.8515057636282732,0.8353293268729098,0.8803858463925389,0.0160024154589372,1431,87993,16256,50711,89424,66967,0.7470973122073257,0.7661013160468301,16.0024154589372,13826.08695652174,6.249056603773584,One-Class SVM,67,0.01,1.0,99.0,47447,474.47
0.03584819040734652,0.8574917994002212,0.8924668845086259,0.7585975181805964,0.8201050940761488,0.8353293268729098,0.8803858463925389,0.06844918590087672,6121,83303,16166,50801,89424,66967,0.7484444159343127,0.7674425102685183,68.44918590087671,59140.096618357486,1.4609377552687473,One-Class SVM,67,0.02,2.0,98.0,47447,948.94
0.007598585705350646,0.8125787289549911,0.7929060360920971,0.7610912837666314,0.776672990620738,0.8353293268729098,0.8803858463925389,0.14886383968509573,13312,76112,15999,50968,89424,66967,0.7516197318622105,0.7693425354159099,148.86383968509574,128618.35748792271,0.6717548076923077,One-Class SVM,67,0.05,5.0,95.0,47447,2372.35
-0.0034341267542135467,0.7809720508213388,0.7358849742576542,0.7619723147221766,0.7487014701998416,0.8353293268729098,0.8803858463925389,0.2047996063696547,18314,71110,15940,51027,89424,66967,0.7527743921996279,0.7699851909804689,204.7996063696547,176946.85990338164,0.48828218848968,One-Class SVM,67,0.1,10.0,90.0,47447,4744.7
0.2374514639377594,0.8883615167819626,0.999311448186476,0.7393617021276596,0.8499039778158614,0.8828312911514496,0.9050299807196477,0.000380398299395838,34,89346,17395,49345,89380,66740,0.7318211068211068,0.7459338194054963,0.38039829939583797,328.664130678004,262.8823529411765,LSTM AE,67,0.0001,0.01,99.99,47420,4.742
0.23573586344718933,0.8883807327696643,0.999230613484511,0.73946658675457,0.8499440282442091,0.8828312911514496,0.9050299807196477,0.0004251510405012307,38,89342,17388,49352,89380,66740,0.7318854568854569,0.7460740325294447,0.4251510405012307,367.3304989930633,235.21052631578948,LSTM AE,67,0.0002,0.02,99.98,47420,9.484
0.2321162074804306,0.8887458365359979,0.9990498332154049,0.7404554989511537,0.850531388494471,0.8828312911514496,0.9050299807196477,0.0005258447079883643,47,89333,17322,49418,89380,66740,0.7326576576576577,0.7472518227706113,0.5258447079883642,454.3298277019467,190.17021276595747,LSTM AE,67,0.0005,0.05,99.95,47420,23.71
