model,n_seeds,attack_precision_mean,attack_precision_sd,attack_precision_ci95_low,attack_precision_ci95_high,attack_recall_mean,attack_recall_sd,attack_recall_ci95_low,attack_recall_ci95_high,attack_f1_mean,attack_f1_sd,attack_f1_ci95_low,attack_f1_ci95_high,fpr_mean,fpr_sd,fpr_ci95_low,fpr_ci95_high,alerts_per_1k_normals_mean,alerts_per_1k_normals_sd,alerts_per_1k_normals_ci95_low,alerts_per_1k_normals_ci95_high,raw_false_triggers_per_day_mean,raw_false_triggers_per_day_sd,raw_false_triggers_per_day_ci95_low,raw_false_triggers_per_day_ci95_high,mean_seconds_between_raw_false_triggers_mean,mean_seconds_between_raw_false_triggers_sd,mean_seconds_between_raw_false_triggers_ci95_low,mean_seconds_between_raw_false_triggers_ci95_high,dos_recall_mean,dos_recall_sd,dos_recall_ci95_low,dos_recall_ci95_high,fdi_recall_mean,fdi_recall_sd,fdi_recall_ci95_low,fdi_recall_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
Dense AE,10,0.9158662360833768,0.004840420071501141,0.9124036081574295,0.9193288640093241,0.7610196066719428,0.006843693869959482,0.7561239229997182,0.7659152903441674,0.8312607446637562,0.0030240323102295697,0.8290974822667551,0.8334240070607574,0.05238750223653606,0.0036363033600940405,0.049786247515688456,0.05498875695738366,52.38750223653606,3.6363033600940398,49.78624751568845,54.988756957383664,45262.80193236715,3141.7661031212506,43015.317853554814,47510.28601117948,1.9172239008879994,0.13422475625894634,1.821205294545933,2.013242507230066,0.7513342741676823,0.0069484802191476635,0.7463636308569145,0.7563049174784501,0.7694570957556792,0.0067592295211397705,0.7646218342386911,0.7742923572726673,0.892376760292507,0.0011555177368651583,0.8915501526994689,0.8932033678855451,0.9116690255217611,0.0010995501857047412,0.9108824547029559,0.9124555963405663
Hybrid AE,10,0.9023560070059504,0.00692970440991978,0.8973987950999789,0.907313218911922,0.764896142876342,0.0023870349719416067,0.76318856092437,0.766603724828314,0.8279449955979377,0.0029858463653669428,0.825809049780305,0.8300809414155703,0.062020263016639834,0.004953868316219884,0.058476479105362675,0.065564046927917,62.02026301663983,4.953868316219886,58.476479105362664,65.56404692791699,53585.507246376816,4280.142225213979,50523.67794703335,56647.33654572028,1.6210358626328838,0.12077666553205296,1.5346374408644206,1.707434284401347,0.7554910513823849,0.002582034029154641,0.7536439755081779,0.757338127256592,0.7730894967727513,0.0022396446450822513,0.7714873515089715,0.7746916420365311,0.8775466975515774,0.003887799301040312,0.8747655334725504,0.8803278616306045,0.9014918645728859,0.002200952041604224,0.8999173983302141,0.9030663308155576
Isolation Forest,10,0.9142852603980314,0.0018035111364084538,0.9129951062516066,0.9155754145444561,0.7608896919378201,0.0008758907447579805,0.7602631174446817,0.7615162664309585,0.830563357911762,0.0009371290375152979,0.8298929761829897,0.8312337396405342,0.0534219001610306,0.0012288720334752634,0.05254281806532986,0.05430098225673134,53.4219001610306,1.2288720334752634,52.542818065329854,54.300982256731345,46156.52173913043,1061.745436922628,45396.994808444986,46916.04866981588,1.872762857450685,0.04210140790004979,1.8426453245582963,1.9028803903430735,0.7514786067098596,0.0008892693552681215,0.7508424617353004,0.7521147516844187,0.7690882673447149,0.0008856926603032356,0.7684546809835995,0.7697218537058304,0.8718445257977546,0.00427373600760232,0.8687872792304208,0.8749017723650885,0.8653571207318093,0.012168709112597655,0.8566521506313644,0.8740620908322542
LSTM AE,10,0.9189610107301938,0.00016185804936786694,0.9188452244567915,0.919076797003596,0.7554330236739586,2.8429226792020224e-05,0.7554126866302415,0.7554533607176757,0.8292116157575202,7.848426510711331e-05,0.8291554714964658,0.8292677600185746,0.04974379055717163,0.0001068522133908282,0.049667353088404254,0.04982022802593901,49.74379055717163,0.10685221339082847,49.66735308840425,49.82022802593901,42978.63504139629,92.32031236967475,42912.59306838127,43044.6770144113,2.0103095201174144,0.0043229468302009915,2.007217070248286,2.0134019699865426,0.7459427284427285,1.0174638546257788e-05,0.7459354499447787,0.7459500069406783,0.7637044307347167,6.207499613341852e-05,0.7636600249575446,0.7637488365118889,0.882654073926043,0.000112142519237964,0.8825738520004531,0.8827342958516329,0.9049600981990416,4.26253940219318e-05,0.9049296058290582,0.9049905905690249
One-Class SVM,10,0.7956525867123826,0.0046722442118796535,0.792310264549033,0.7989949088757322,0.760710499201099,0.0004006407618720236,0.7604238980652805,0.7609971003369175,0.7777822102282739,0.0020222023935055912,0.7763356137808093,0.7792288066757385,0.14633319914117016,0.004241822693840987,0.14329878198322793,0.14936761629911238,146.33319914117016,4.241822693840983,143.2987819832279,149.3676162991124,126431.88405797102,3664.9348074786135,123810.14763350892,129053.62048243312,0.6839105773204273,0.02064761959712963,0.6691401600497654,0.6986809945910891,0.7512508820322022,0.00035627863029383434,0.7509960156535718,0.7515057484108327,0.7689513537679176,0.00044628791158217646,0.768632098628316,0.7692706089075191,0.8356424653069832,0.0010619103401390542,0.8348828204116431,0.8364021102023232,0.8804986657388032,0.00039196838707496477,0.8802182684461869,0.8807790630314195
