threshold,accuracy,attack_precision,attack_recall,attack_f1,roc_auc,pr_auc,fpr,fp,tn,fn,tp,normal_windows,attack_windows,dos_recall,fdi_recall,alerts_per_1k_normals,raw_false_triggers_per_day,mean_seconds_between_raw_false_triggers,model,seed,reference_percentile,validation_windows
0.017040370032191277,0.8673517018242738,0.908004378221877,0.7680350023145729,0.8321751300450607,0.8940775315490083,0.9131717208569967,0.058272946859903384,5211,84213,15534,51433,89424,66967,0.7586118416832381,0.7762440973483472,58.272946859903385,50347.82608695652,1.7160621761658033,Dense AE,67,95.0,47447
0.012215654391190664,0.8669488653439137,0.9124358905627334,0.7624501620200994,0.8307274295104372,0.873666591496051,0.8680601853899479,0.05479513329754876,4900,84524,15908,51059,89424,66967,0.7532234267752903,0.7704881388136019,54.79513329754876,47342.995169082125,1.8249795918367346,Isolation Forest,67,95.0,47447
0.007598585705350646,0.8125787289549911,0.7929060360920971,0.7610912837666314,0.776672990620738,0.8353293268729098,0.8803858463925389,0.14886383968509573,13312,76112,15999,50968,89424,66967,0.7516197318622105,0.7693425354159099,148.86383968509574,128618.35748792271,0.6717548076923077,One-Class SVM,67,95.0,47447
0.13432134687900543,0.86688444786062,0.9187440775566732,0.7554240335630806,0.8291178792264176,0.8828312911514496,0.9050299807196477,0.04988811814723652,4459,84921,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.88811814723652,43103.33407921235,2.00448531060776,LSTM AE,67,95.0,47420
13.0529966240214,0.8654781924791068,0.9078444953558172,0.7633311929756447,0.8293395200934504,0.872570712959855,0.8983998159318713,0.05802692789407765,5189,84235,15849,51118,89424,66967,0.7540573481300917,0.7714102098410126,58.02692789407765,50135.26570048309,1.723337830025053,Hybrid AE,67,95.0,47447
0.07669346034526825,0.8683811728296386,0.9226395495052212,0.7560141562262009,0.8310571240971766,0.8927883099699461,0.9115760378780077,0.047470477724100915,4245,85179,16339,50628,89424,66967,0.7464237603438322,0.7643689401771494,47.47047772410092,41014.49275362319,2.1065724381625444,Dense AE,68,95.0,47447
0.0118064013560291,0.8666483365411053,0.9137386498223451,0.7603595800916869,0.8300229026920851,0.8684392799434788,0.8542065082035605,0.05375514403292181,4807,84617,16048,50919,89424,66967,0.7510103277952402,0.7685042890273548,53.755144032921805,46444.444444444445,1.860287081339713,Isolation Forest,68,95.0,47447
0.007614533933633167,0.8124764212774392,0.7929091701425637,0.7607627637493094,0.7765034027084492,0.8349687106077994,0.880224402097425,0.1487967436035069,13306,76118,16021,50946,89424,66967,0.7512027711848098,0.7690910614993434,148.79674360350688,128560.38647342996,0.6720577183225612,One-Class SVM,68,95.0,47447
0.134368434548378,0.8669228798360236,0.9188445416438855,0.7554240335630806,0.8291587862840227,0.8826951151451015,0.9049725931383504,0.04982098903557843,4453,84927,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.820989035578435,43045.33452673977,2.0071861666292388,LSTM AE,68,95.0,47420
19.74173665282201,0.8659385770280899,0.9090359410289698,0.7633013275195245,0.8298186658874332,0.8837170474681981,0.9051378308723307,0.057199409554482016,5115,84309,15851,51116,89424,66967,0.7533517223683367,0.771969040766716,57.19940955448202,49420.289855072464,1.7482697947214079,Hybrid AE,68,95.0,47447
0.06914591044187546,0.8683044420714747,0.9223762592680306,0.7560738871384414,0.8309863778106024,0.8918373186724562,0.9112651931973259,0.047649400608337805,4261,85163,16335,50632,89424,66967,0.746519982038617,0.7643968817234346,47.64940060833781,41169.08212560386,2.0986622858483925,Dense AE,69,95.0,47447
0.012230407923028793,0.8678440575224917,0.9163654022554363,0.7608075619334896,0.8313724850284745,0.8661313977157972,0.8502527136446235,0.05199946323134729,4650,84774,16018,50949,89424,66967,0.7512989928795946,0.7690910614993434,51.99946323134729,44927.536231884056,1.9230967741935485,Isolation Forest,69,95.0,47447
0.009146981369066148,0.8181992569904918,0.8045811663162554,0.7600310600743649,0.7816718627616605,0.8376255245381232,0.8812361925461608,0.13824029343353014,12362,77062,16070,50897,89424,66967,0.7506895888126243,0.7681689904719328,138.24029343353016,119439.61352657004,0.7233780941595211,One-Class SVM,69,95.0,47447
0.13430152833461761,0.8669420958237254,0.9188947819272058,0.7554240335630806,0.8291792413265684,0.8826629812151812,0.9049592695131554,0.04978742447974938,4450,84930,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.78742447974938,43016.33475050347,2.0085393258426967,LSTM AE,69,95.0,47420
40.55413735773037,0.8657211732132923,0.9077040427154843,0.7641076948347694,0.8297389330306469,0.8796853768779698,0.903513393546633,0.05818348541778493,5203,84221,15797,51170,89424,66967,0.7549554172814164,0.7720808069518568,58.18348541778493,50270.53140096618,1.7187007495675573,Hybrid AE,69,95.0,47447
0.018210383132100105,0.8700820379689368,0.9153148982389915,0.7676168859288903,0.8349847313364953,0.8913716654171562,0.9122939219524073,0.053184827339416714,4756,84668,15562,51405,89424,66967,0.7581628071075759,0.7758529157003549,53.184827339416714,45951.69082125604,1.8802354920100925,Dense AE,70,95.0,47447
0.012303525357917285,0.866782615367892,0.9142467180288418,0.7601953200830259,0.830134529147982,0.8762627000561076,0.8791943745389234,0.05339729826444802,4775,84649,16059,50908,89424,66967,0.7505933671178395,0.7685601721199251,53.39729826444802,46135.26570048309,1.872753926701571,Isolation Forest,70,95.0,47447
0.008617764639195597,0.8133971903754053,0.794662632186418,0.7608075619334896,0.777366666412371,0.8351946931936628,0.8803382407411579,0.14721998568616926,13165,76259,16018,50949,89424,66967,0.7513310667778562,0.7690631199530582,147.21998568616925,127198.06763285024,0.6792556019749336,One-Class SVM,70,95.0,47447
0.13435663282871246,0.8669869331283628,0.9190120306234051,0.7554240335630806,0.8292269736842105,0.8827993397797218,0.9050179972498447,0.049709107182814946,4443,84937,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.70910718281495,42948.668605952116,2.0117038037362143,LSTM AE,70,95.0,47420
11.761407873422229,0.8626903082658209,0.8994047514530035,0.764884196693894,0.8267079843122065,0.8769142907738481,0.9009405534709258,0.06406557523707282,5729,83695,15745,51222,89424,66967,0.7554044518570787,0.7731425857106933,64.06557523707282,55352.657004830915,1.5609006807470764,Hybrid AE,70,95.0,47447
0.047051046043634415,0.867722567155399,0.9199484592210809,0.7569549180939866,0.8305302738615046,0.8929643447145541,0.9115260740450251,0.049326802648058686,4411,85013,16276,50691,89424,66967,0.7471935339021104,0.7654586604822711,49.32680264805869,42618.3574879227,2.027295397868964,Dense AE,71,95.0,47447
0.013401495680435275,0.8651265098375226,0.910233939047074,0.7599713291621246,0.8283433296169402,0.8636888172680357,0.8440482233189858,0.056125872249060654,5019,84405,16074,50893,89424,66967,0.7507858105074091,0.7679733996479365,56.125872249060656,48492.75362318841,1.7817095038852362,Isolation Forest,71,95.0,47447
0.009289624362225798,0.8180394012443172,0.8043210266784676,0.7599414637060045,0.7815017007194466,0.8376688796126697,0.8812396497827946,0.13845276435856146,12381,77043,16076,50891,89424,66967,0.7505933671178395,0.7680851658330772,138.45276435856147,119623.1884057971,0.7222679912769566,One-Class SVM,71,95.0,47447
0.13438156247138977,0.8670381757622342,0.919146065777,0.7554240335630806,0.8292815316797157,0.8825261670933511,0.9049028478396176,0.049619601700604164,4435,84945,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.619601700604164,42871.335869322,2.0153325817361893,LSTM AE,71,95.0,47420
16.194829609378047,0.86634141350845,0.9024181430618164,0.7712604715755521,0.8317002278564585,0.8719066201902672,0.8987089923132036,0.062455269278940774,5585,83839,15318,51649,89424,66967,0.762428635576368,0.7789544273380089,62.455269278940776,53961.35265700483,1.601145926589078,Hybrid AE,71,95.0,47447
0.03979186341166496,0.8662327116010512,0.9124079746359288,0.7606283691967686,0.8296333697086177,0.8914683950921336,0.910870292051567,0.0546833064949007,4890,84534,16030,50937,89424,66967,0.7509141061004555,0.7690910614993434,54.6833064949007,47246.3768115942,1.8287116564417178,Dense AE,72,95.0,47447
0.013896791485898395,0.867262182606416,0.9158237644433246,0.7598518673376439,0.8305788833663867,0.8717908770198521,0.8637877550271984,0.05230139559849705,4677,84747,16082,50885,89424,66967,0.7504329976265315,0.768057224286792,52.30139559849705,45188.405797101455,1.9119948685054522,Isolation Forest,72,95.0,47447
0.00888034169584424,0.8131222384919848,0.794038362653287,0.7609568892140905,0.7771457329347893,0.8351207470169753,0.8802994020237127,0.14781266774020396,13218,76206,16008,50959,89424,66967,0.7515555840656873,0.7691469445919137,147.81266774020395,127710.14492753622,0.6765320018157059,One-Class SVM,72,95.0,47447
0.13432729244232178,0.8669036638483218,0.9187943068540083,0.7554240335630806,0.829138332250664,0.8826170782233523,0.9049461771317552,0.049854553591407474,4456,84924,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.85455359140747,43074.33430297606,2.005834829443447,LSTM AE,72,95.0,47420
30.10887478937952,0.8659066058788549,0.9078961370650207,0.7643914166679111,0.8299864611792556,0.8794473626452392,0.9028550213616329,0.05807165861513688,5193,84231,15778,51189,89424,66967,0.7550195650779395,0.7725558132387046,58.071658615136876,50173.913043478264,1.7220103986135182,Hybrid AE,72,95.0,47447
0.039119865745306015,0.8672685768362629,0.9118963150482234,0.7638239730016276,0.831318056232732,0.8927931758310454,0.9110998679546587,0.0552648058686706,4942,84482,15816,51151,89424,66967,0.7541856437231381,0.7722205146832826,55.2648058686706,47748.7922705314,1.8094698502630515,Dense AE,73,95.0,47447
0.010826571853306382,0.8670255961020775,0.9145879352764757,0.7604790419161677,0.8304443538524257,0.8747116385743952,0.8722612573081767,0.053184827339416714,4756,84668,16040,50927,89424,66967,0.751106549490025,0.7686439967587806,53.184827339416714,45951.69082125604,1.8802354920100925,Isolation Forest,73,95.0,47447
0.008318753602368122,0.8127321904713187,0.7933482810164425,0.7608523601176699,0.7767606009558583,0.835162540754438,0.8803093621505891,0.14841653247450348,13272,76152,16015,50952,89424,66967,0.7513631406761178,0.7691190030456285,148.41653247450347,128231.88405797101,0.6737793851717903,One-Class SVM,73,95.0,47447
0.13434427976608276,0.8669549064821932,0.918928278501777,0.7554240335630806,0.8291928785822952,0.8826359518738383,0.9049478815119583,0.049765048109196686,4448,84932,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.765048109196684,42997.001566345934,2.0094424460431655,LSTM AE,73,95.0,47420
22.068720871366136,0.86354074083547,0.9035270810485725,0.7627637493093613,0.8271997797588684,0.8733297851205013,0.899177924813267,0.06099033816425121,5454,83970,15887,51080,89424,66967,0.7534158701648599,0.7709072620078795,60.990338164251206,52695.65217391304,1.6396039603960397,Hybrid AE,73,95.0,47447
0.018055345863103867,0.8687072785518348,0.9138060100524008,0.7656009676407783,0.8331640571043202,0.8920393746442005,0.9119519678989786,0.05407944176060118,4836,84588,15697,51270,89424,66967,0.7553723779588171,0.7745117214786666,54.07944176060118,46724.63768115942,1.849131513647643,Dense AE,74,95.0,47447
0.011051689763749714,0.8676138652480002,0.9150115722051779,0.7615691310645542,0.8312687442952145,0.8747540712911468,0.87020722116441,0.0529723564143854,4737,84687,15967,51000,89424,66967,0.7519083969465649,0.7699851909804689,52.9723564143854,45768.115942028984,1.8877770740975301,Isolation Forest,74,95.0,47447
0.0071238733241918584,0.8128217096891764,0.7936218607839471,0.7606881001090089,0.7768060691548169,0.8352414284377543,0.8803507133748444,0.14813696546788335,13247,76177,16026,50941,89424,66967,0.7511386233882866,0.7690072368604879,148.13696546788336,127990.33816425121,0.6750509549331924,One-Class SVM,74,95.0,47447
0.13437287509441376,0.8669549064821932,0.918928278501777,0.7554240335630806,0.8291928785822952,0.8827257507232088,0.9049879147039543,0.049765048109196686,4448,84932,16323,50417,89380,66740,0.745945945945946,0.763684800897364,49.765048109196684,42997.001566345934,2.0094424460431655,LSTM AE,74,95.0,47420
20.768612027446107,0.8605226643476926,0.8944407561410251,0.7644959457643317,0.8243790507628518,0.8783743491809334,0.9020550009953084,0.06756575415995705,6042,83382,15771,51196,89424,66967,0.754987491179678,0.772779345608986,67.56575415995705,58376.811594202896,1.4800397219463757,Hybrid AE,74,95.0,47447
0.10813279449939728,0.8634704043071533,0.9185553577655026,0.7474278375916497,0.8242026050157256,0.8904611711959042,0.9096078558882549,0.049628735015208446,4438,84986,16914,50053,89424,66967,0.7374109949323241,0.756154125569309,49.62873501520845,42879.22705314009,2.0149616944569626,Dense AE,75,95.0,47447
0.010919274068758533,0.867696990236011,0.914942075248377,0.7618528528976959,0.831409039428334,0.874521529753629,0.8800539274003429,0.053039452495974235,4743,84681,15948,51019,89424,66967,0.7523895054204888,0.7700969571656096,53.03945249597423,45826.086956521736,1.8853889943074005,Isolation Forest,75,95.0,47447
0.006672282267961014,0.8124764212774392,0.7927815805849409,0.7609718219421506,0.776551083072375,0.8351164489983093,0.8803217292828531,0.14895330112721417,13320,76104,16007,50960,89424,66967,0.7515235101674258,0.7692028276844841,148.95330112721416,128695.65217391304,0.6713513513513514,One-Class SVM,75,95.0,47447
0.13446518778800964,0.8671214450422752,0.9192722101693679,0.7555139346718609,0.8293870434489394,0.882494944613286,0.9049230399467199,0.04954128440366973,4428,84952,16317,50423,89380,66740,0.7459137709137709,0.7638810992708918,49.54128440366973,42803.66972477065,2.0185185185185186,LSTM AE,75,95.0,47420
11.455821623099904,0.8578946358805813,0.8874188241406182,0.7652127167112159,0.8217974212585798,0.8812662410283434,0.9025245336494201,0.07269860440150296,6501,82923,15723,51244,89424,66967,0.7558855603310026,0.7733381765346894,72.69860440150296,62811.59420289855,1.3755422242731887,Hybrid AE,75,95.0,47447
